CARACTERISTICA	TIPO_ACAO	ESFERA	ORIGEM	PRIORITARIA	CODIGO_PROGRAMA	NOME_PROGRAMA	CODIGO_ACAO	NOME_ACAO	CODIGO_ORGAO	SIGLA_ORGAO	CODIGO_UO	SIGLA_UO	CODIGO_FUNCAO	NOME_FUNCAO	CODIGO_SUBFUNCAO	NOME_SUBFUNCAO	NOIME_PRODUTO	UNIDADE_MEDIDA	LOCALIZADOR	CODIGO_REGIAO	REGIAO	CUMULATIVIDADE_METAFISICA	CODIGO_FONTERECURSO	NOME_FONTERECURSO	CODIGO_GRUPODESPESA	NOME_GRUPODESPESA	PROGRAMACAOFINANCEIRA_2020	PROGRAMACAOFINANCEIRA_2021	PROGRAMACAOFINANCEIRA_2022	PROGRAMACAOFINANCEIRA_2023
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11103	PGE	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	3	Outras Despesas Correntes               	0	0	0	1381000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11103	PGE	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	4	Investimentos                           	0	0	0	80000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11103	PGE	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	737000	1229000	1477000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11103	PGE	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	4	Investimentos                           	0	0	1000000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	3	Outras Despesas Correntes               	0	0	0	295000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	4	Investimentos                           	0	0	0	10000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	121	Cota-parte do Fundo de Participação dos Estados e do Distrito Federal	3	Outras Despesas Correntes               	0	0	285000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	121	Cota-parte do Fundo de Participação dos Estados e do Distrito Federal	4	Investimentos                           	0	0	10000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	670000	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11108	CASA MILITAR	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	160	Recursos do FTI (Fundo de Fomento ao Turismo, Infraestrutura, Serviços e Interiorização do Desenvolvimento do Estado do Amazonas)	3	Outras Despesas Correntes               	0	794640	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11109	CGE	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	3	Outras Despesas Correntes               	0	0	0	1362000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11109	CGE	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	140	Indenização pela Utilização de Recursos Hídricos e Exploração de Recursos Minerais	3	Outras Despesas Correntes               	0	1038000	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11109	CGE	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	800000	0	1462000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11206	IOA	24	Comunicações                                	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Outros Recursos não Vinculados - Diretamente Arrecadados	3	Outras Despesas Correntes               	0	0	0	6138000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11206	IOA	24	Comunicações                                	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Outros Recursos não Vinculados - Diretamente Arrecadados	4	Investimentos                           	0	0	0	250000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11206	IOA	24	Comunicações                                	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	1	Pessoal e Encargos Sociais              	0	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11206	IOA	24	Comunicações                                	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	3	Outras Despesas Correntes               	5221344	2993750	3926000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11206	IOA	24	Comunicações                                	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	4	Investimentos                           	800000	2000000	500000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11209	ARSEPAM	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Outros Recursos não Vinculados - Diretamente Arrecadados	3	Outras Despesas Correntes               	0	0	0	101210
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11209	ARSEPAM	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	3	Outras Despesas Correntes               	417000	164936	132377	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11209	ARSEPAM	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	4	Investimentos                           	62500	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11304	UEA	12	Educação	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1116	Outros Recursos Vinculados à Educação - Contribuição para o Desenvolvimento do Ensino Superior	3	Outras Despesas Correntes               	0	0	0	65046404
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11304	UEA	12	Educação	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1116	Outros Recursos Vinculados à Educação - Contribuição para o Desenvolvimento do Ensino Superior	4	Investimentos                           	0	0	0	2432100
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11304	UEA	12	Educação	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	116	Contribuição para o Desenvolvimento do Ensino Superior	3	Outras Despesas Correntes               	10500000	30000000	46100000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11304	UEA	12	Educação	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	116	Contribuição para o Desenvolvimento do Ensino Superior	4	Investimentos                           	0	0	1500000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11705	FPS	14	Direitos da Cidadania  	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1118	Recursos Vinculados ao Fundo de Combate e Erradicação da Pobreza - FECOP	3	Outras Despesas Correntes               	0	0	0	1000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11705	FPS	14	Direitos da Cidadania  	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	285	Outras Fontes	3	Outras Despesas Correntes               	0	4000	9000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11706	FUNDPGE 	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Recursos Vinculados a Fundos - Diretamente Arrecadados	3	Outras Despesas Correntes               	0	0	0	370000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11706	FUNDPGE 	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Recursos Vinculados a Fundos - Diretamente Arrecadados	4	Investimentos                           	0	0	0	200000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11706	FUNDPGE 	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	3	Outras Despesas Correntes               	233000	155000	360000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11706	FUNDPGE 	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	4	Investimentos                           	250000	160000	150000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	12000	SEVG	12101	SGVG	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	3	Outras Despesas Correntes               	0	0	0	90000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	12000	SEVG	12101	SGVG	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	80000	85000	60000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13101	SEAD	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	3	Outras Despesas Correntes               	0	0	0	9215100
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13101	SEAD	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	121	Cota-parte do Fundo de Participação dos Estados e do Distrito Federal	3	Outras Despesas Correntes               	3271000	6513000	8146000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13102	CSC	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1150	Recursos não Vinculados de Impostos - Outras Transferências	3	Outras Despesas Correntes               	0	0	0	2621087
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13102	CSC	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1150	Recursos não Vinculados de Impostos - Outras Transferências	4	Investimentos                           	0	0	0	100000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13102	CSC	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	1065000	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13102	CSC	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	150	Outras Transferências de Recursos	3	Outras Despesas Correntes               	0	2182000	2372800	0
Padronizada	Atividades	Seguridade Social	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13301	AMAZONPREV	09	Previdência Social     	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1202	Recursos Vinculados ao RPPS - Taxa de Administração	3	Outras Despesas Correntes               	0	0	0	16222510
Padronizada	Atividades	Seguridade Social	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13301	AMAZONPREV	09	Previdência Social     	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1202	Recursos Vinculados ao RPPS - Taxa de Administração	4	Investimentos                           	0	0	0	1000000
Padronizada	Atividades	Seguridade Social	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13301	AMAZONPREV	09	Previdência Social     	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	202	Recursos Vinculados ao RPPS - Taxa de Administração	3	Outras Despesas Correntes               	7592000	7962000	22359000	0
Padronizada	Atividades	Seguridade Social	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	13000	SEAD	13301	AMAZONPREV	09	Previdência Social     	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	202	Recursos Vinculados ao RPPS - Taxa de Administração	4	Investimentos                           	1000000	1000000	1000000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	14000	SEFAZ	14101	SEFAZ	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	3	Outras Despesas Correntes               	0	0	0	25980000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	14000	SEFAZ	14101	SEFAZ	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1145	Transferências da União Referentes as Compensações Financeiras pela Exploração de Recursos Naturais - Royalties	4	Investimentos                           	0	0	0	1000000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	14000	SEFAZ	14101	SEFAZ	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	16390000	23050000	25000000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	14000	SEFAZ	14101	SEFAZ	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	4	Investimentos                           	0	100000	100000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16101	SEDECTI	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1160	Outros Recursos não Vinculados - FTI	3	Outras Despesas Correntes               	0	0	0	4335000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16101	SEDECTI	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	160	Recursos do FTI (Fundo de Fomento ao Turismo, Infraestrutura, Serviços e Interiorização do Desenvolvimento do Estado do Amazonas)	3	Outras Despesas Correntes               	2239132	5200000	4005000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16101	SEDECTI	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1160	Outros Recursos não Vinculados - FTI	3	Outras Despesas Correntes               	0	0	0	2393917
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16101	SEDECTI	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	160	Recursos do FTI (Fundo de Fomento ao Turismo, Infraestrutura, Serviços e Interiorização do Desenvolvimento do Estado do Amazonas)	3	Outras Despesas Correntes               	2413795	2930000	2534437	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16201	JUCEA	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Outros Recursos não Vinculados - Diretamente Arrecadados	3	Outras Despesas Correntes               	0	0	0	6562311
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16201	JUCEA	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1201	Outros Recursos não Vinculados - Diretamente Arrecadados	4	Investimentos                           	0	0	0	1000000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16201	JUCEA	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	3	Outras Despesas Correntes               	2590000	2500000	4315000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16201	JUCEA	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	201	Recursos Diretamente Arrecadados	4	Investimentos                           	0	100000	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16202	IPEM	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	100	Recursos Ordinários	1	Pessoal e Encargos Sociais              	0	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16202	IPEM	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	100	Recursos Ordinários	3	Outras Despesas Correntes               	0	0	1290000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16202	IPEM	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1100	Recursos não Vinculados de Impostos	1	Pessoal e Encargos Sociais              	0	0	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	16000	SEDECTI	16202	IPEM	23	Comércio e Serviços                         	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	3	Outras Despesas Correntes               	0	0	0	1803000
